movie_id,snapshot_date,popularity,vote_average,vote_count,revenue
38700,2025-12-01,6.281,6.96,8555,426044618
38700,2026-01-01,3.222,7.02,8598,426620400
38700,2026-02-01,2.016,7.08,8644,427403464
38700,2026-03-01,4.039,7.08,8673,426973547
38700,2026-04-01,13.185,7.04,8695,425998556
38700,2026-05-01,9.196,7.15,8751,427508384
49046,2025-12-01,9.767,7.63,4608,
49046,2026-01-01,6.89,7.61,4622,
49046,2026-02-01,3.73,7.72,4652,
49046,2026-03-01,2.22,7.70,4666,
49046,2026-04-01,4.104,7.62,4672,
49046,2026-05-01,7.766,7.67,4695,
76600,2025-12-01,12.012,7.53,13921,2340367521
76600,2026-01-01,23.758,7.49,13953,2334148454
76600,2026-02-01,34.751,7.54,14021,2337019870
76600,2026-03-01,70.205,7.55,14076,2336501615
76600,2026-04-01,17.615,7.55,14125,2334470613
76600,2026-05-01,7.888,7.56,14180,2333896330
166428,2025-12-01,9.888,7.60,6965,539404806
166428,2026-01-01,15.634,7.72,7011,541523719
166428,2026-02-01,12.894,7.67,7027,540059271
166428,2026-03-01,15.165,7.69,7054,539890795
166428,2026-04-01,3.463,7.74,7089,540548501
166428,2026-05-01,4.521,7.69,7104,539077573
181812,2025-12-01,11.76,6.12,10616,1073055066
181812,2026-01-01,7.966,6.22,10681,1076290388
181812,2026-02-01,3.211,6.17,10704,1073235522
181812,2026-03-01,6.136,6.15,10737,1071733868
181812,2026-04-01,8.114,6.19,10786,1072520142
181812,2026-05-01,13.332,6.29,10851,1075723240
260513,2025-12-01,14.638,7.39,13418,1246187031
260513,2026-01-01,11.294,7.29,13430,1240241925
260513,2026-02-01,6.996,7.36,13502,1242681134
260513,2026-03-01,3.498,7.46,13586,1246589836
260513,2026-04-01,4.539,7.42,13619,1243591175
260513,2026-05-01,9.158,7.39,13657,1241248938
268896,2025-12-01,13.747,5.98,5238,289718445
268896,2026-01-01,10.754,6.03,5264,290082181
268896,2026-02-01,10.504,6.10,5292,290618215
268896,2026-03-01,5.648,6.05,5304,289821126
268896,2026-04-01,2.493,6.06,5324,289701041
268896,2026-05-01,3.718,6.17,5358,290719156
283566,2025-12-01,5.898,8.06,934,93787256
283566,2026-01-01,5.368,8.04,937,93630097
283566,2026-02-01,3.703,8.14,943,93921884
283566,2026-03-01,1.575,8.13,946,93813168
283566,2026-04-01,1.715,8.13,949,93717408
283566,2026-05-01,3.724,8.13,953,93644743
284054,2025-12-01,5.722,7.24,22992,1350088074
284054,2026-01-01,5.235,7.24,23074,1348954136
284054,2026-02-01,12.034,7.27,23175,1349610200
284054,2026-03-01,19.976,7.33,23291,1351497397
284054,2026-04-01,48.129,7.36,23390,1351910474
284054,2026-05-01,11.963,7.29,23431,1347277528
287947,2025-12-01,3.94,6.89,9997,368313194
287947,2026-01-01,2.422,6.95,10046,368770000
287947,2026-02-01,4.387,6.86,10060,367269380
287947,2026-03-01,8.923,6.95,10120,368306574
287947,2026-04-01,25.866,6.99,10164,368496358
287947,2026-05-01,7.252,6.92,10181,367174488
290859,2025-12-01,7.617,6.30,5570,261348032
290859,2026-01-01,11.04,6.33,5595,261454569
290859,2026-02-01,9.271,6.28,5607,260721346
290859,2026-03-01,5.301,6.28,5627,260491039
290859,2026-04-01,2.502,6.34,5655,260888985
290859,2026-05-01,3.29,6.36,5678,260874884
297802,2025-12-01,8.606,6.74,14589,1151378649
297802,2026-01-01,14.555,6.84,14682,1155332410
297802,2026-02-01,13.033,6.80,14716,1152263407
297802,2026-03-01,22.139,6.87,14799,1154952241
297802,2026-04-01,5.22,6.76,14805,1148682903
297802,2026-05-01,3.81,6.83,14885,1151088338
298618,2025-12-01,15.131,6.44,4905,270724441
298618,2026-01-01,12.985,6.46,4924,270677229
298618,2026-02-01,7.782,6.54,4952,271334941
298618,2026-03-01,3.471,6.52,4967,270897009
298618,2026-04-01,5.78,6.57,4991,271170513
298618,2026-05-01,12.403,6.61,5014,271440761
299054,2025-12-01,6.898,6.01,1863,38031056
299054,2026-01-01,10.79,6.03,1870,38019909
299054,2026-02-01,10.64,6.03,1877,37986920
299054,2026-03-01,6.48,5.99,1882,37908657
299054,2026-04-01,3.082,6.07,1892,37987147
299054,2026-05-01,4.725,6.00,1895,37851553
299534,2025-12-01,15.472,8.07,27212,2794349720
299534,2026-01-01,8.16,8.12,27341,2797003588
299534,2026-02-01,16.229,8.20,27497,2803789428
299534,2026-03-01,30.663,8.18,27583,2799825423
299534,2026-04-01,41.152,8.25,27728,2805015583
299534,2026-05-01,45.529,8.15,27748,2791074376
299536,2025-12-01,43.546,8.12,31394,2052156435
299536,2026-01-01,17.893,8.07,31463,2046331681
299536,2026-02-01,32.121,8.15,31646,2051602283
299536,2026-03-01,38.866,8.24,31833,2057266948
299536,2026-04-01,60.394,8.21,31917,2052919933
299536,2026-05-01,65.322,8.24,32056,2053929721
299537,2025-12-01,7.735,6.69,16410,1132923493
299537,2026-01-01,3.368,6.70,16472,1132339682
299537,2026-02-01,3.499,6.73,16543,1132719838
299537,2026-03-01,7.589,6.72,16597,1131423234
299537,2026-04-01,11.132,6.70,16648,1129726110
299537,2026-05-01,10.555,6.69,16701,1128293737
300668,2025-12-01,2.45,6.24,9166,43008376
300668,2026-01-01,5.454,6.26,9202,42994938
300668,2026-02-01,8.606,6.29,9244,43023882
300668,2026-03-01,8.594,6.32,9283,43033960
300668,2026-04-01,10.111,6.33,9318,43014061
300668,2026-05-01,2.519,6.39,9366,43086162
301528,2025-12-01,64.099,7.35,10388,1074169989
301528,2026-01-01,36.284,7.43,10449,1077043589
301528,2026-02-01,67.109,7.44,10488,1076528145
301528,2026-03-01,109.975,7.33,10494,1070826047
301528,2026-04-01,161.615,7.47,10570,1075928942
301528,2026-05-01,133.158,7.50,10616,1076547474
315162,2025-12-01,30.756,8.02,8689,483286615
